Men
140.1: 1CABA
140.2: 2ABAB
140.3: 3BC
141.1: 1BBBB
141.2: 2AAAA
141.3: 3CC
142.1: 1BCAA
142.2: 2AABB
142.3: 3CB
143.1: 1CCBB
143.2: 2BAAA
143.3: 3AB
144.1: 1CBAA
144.2: 2BABB
144.3: 3AC
145.1: 1AABB
145.2: 2CCAA
145.3: 3BB
